2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 14:00:41 [INFO]  -------------------
2025-12-12 14:00:41 [INFO]  Batch 9100
2025-12-12 14:00:41 [INFO]  -------------------
2025-12-12 14:00:51 [INFO]  -------------------
2025-12-12 14:00:51 [INFO]  Batch 9150
2025-12-12 14:00:51 [INFO]  -------------------
2025-12-12 14:01:00 [INFO]  -------------------
2025-12-12 14:01:00 [INFO]  Batch 9200
2025-12-12 14:01:00 [INFO]  -------------------
2025-12-12 14:01:10 [INFO]  -------------------
2025-12-12 14:01:10 [INFO]  Batch 9250
2025-12-12 14:01:10 [INFO]  -------------------
2025-12-12 14:01:20 [INFO]  -------------------
